period,16+ Population,16+ Total Activity Level,16+ Employment Level,16+ Unemployment Level,16+ Economically Inactive Level,16+ Economic Activity Rate,16+ Employment Rate,16+ Unemployment Rate,16+ Economic Inactivity Rate,16-64 Population,16-64 Total Activity Level,16-64 Employment Level,16-64 Unemployment Level,16-64 Economically Inactive Level,16-64 Economic Activity Rate,16-64 Employment Rate,16-64 Unemployment Rate,16-64 Economic Inactivity Rate
Apr-Jun 1974,41070000.0,25940000.0,25002000.0,937000.0,15131000.0,63.2,60.9,3.6,36.8,33686000.0,25499000.0,24575000.0,924000.0,8187000.0,75.7,73.0,3.6,24.3
May-Jul 1974,41083000.0,25961000.0,25020000.0,941000.0,15122000.0,63.2,60.9,3.6,36.8,33689000.0,25520000.0,24592000.0,928000.0,8169000.0,75.8,73.0,3.6,24.2
Jun-Aug 1974,41096000.0,25995000.0,25044000.0,951000.0,15102000.0,63.3,60.9,3.7,36.7,33691000.0,25557000.0,24620000.0,938000.0,8134000.0,75.9,73.1,3.7,24.1
Jul-Sep 1974,41112000.0,26024000.0,25066000.0,958000.0,15088000.0,63.3,61.0,3.7,36.7,33696000.0,25581000.0,24636000.0,944000.0,8115000.0,75.9,73.1,3.7,24.1
Aug-Oct 1974,41127000.0,26042000.0,25077000.0,965000.0,15085000.0,63.3,61.0,3.7,36.7,33702000.0,25599000.0,24647000.0,952000.0,8102000.0,76.0,73.1,3.7,24.0
Sep-Nov 1974,41142000.0,26044000.0,25075000.0,969000.0,15098000.0,63.3,60.9,3.7,36.7,33707000.0,25600000.0,24644000.0,956000.0,8106000.0,76.0,73.1,3.7,24.0
Oct-Dec 1974,41158000.0,26041000.0,25065000.0,976000.0,15117000.0,63.3,60.9,3.7,36.7,33712000.0,25597000.0,24635000.0,963000.0,8115000.0,75.9,73.1,3.8,24.1
Nov-Jan 1975,41173000.0,26033000.0,25044000.0,989000.0,15140000.0,63.2,60.8,3.8,36.8,33717000.0,25589000.0,24613000.0,976000.0,8128000.0,75.9,73.0,3.8,24.1
Dec-Feb 1975,41189000.0,26025000.0,25018000.0,1007000.0,15164000.0,63.2,60.7,3.9,36.8,33723000.0,25586000.0,24592000.0,993000.0,8137000.0,75.9,72.9,3.9,24.1
Jan-Mar 1975,41204000.0,26025000.0,24996000.0,1029000.0,15179000.0,63.2,60.7,4.0,36.8,33728000.0,25592000.0,24576000.0,1016000.0,8136000.0,75.9,72.9,4.0,24.1
Feb-Apr 1975,41219000.0,26036000.0,24980000.0,1055000.0,15184000.0,63.2,60.6,4.1,36.8,33733000.0,25597000.0,24555000.0,1042000.0,8137000.0,75.9,72.8,4.1,24.1
Mar-May 1975,41235000.0,26054000.0,24965000.0,1089000.0,15180000.0,63.2,60.5,4.2,36.8,33739000.0,25621000.0,24544000.0,1076000.0,8118000.0,75.9,72.7,4.2,24.1
Apr-Jun 1975,41250000.0,26081000.0,24955000.0,1126000.0,15169000.0,63.2,60.5,4.3,36.8,33744000.0,25647000.0,24534000.0,1112000.0,8097000.0,76.0,72.7,4.3,24.0
May-Jul 1975,41265000.0,26107000.0,24945000.0,1162000.0,15158000.0,63.3,60.4,4.5,36.7,33749000.0,25673000.0,24524000.0,1149000.0,8077000.0,76.1,72.7,4.5,23.9
Jun-Aug 1975,41281000.0,26127000.0,24934000.0,1193000.0,15154000.0,63.3,60.4,4.6,36.7,33753000.0,25692000.0,24513000.0,1179000.0,8061000.0,76.1,72.6,4.6,23.9
Jul-Sep 1975,41300000.0,26139000.0,24918000.0,1221000.0,15161000.0,63.3,60.3,4.7,36.7,33764000.0,25704000.0,24496000.0,1207000.0,8060000.0,76.1,72.6,4.7,23.9
Aug-Oct 1975,41319000.0,26149000.0,24897000.0,1252000.0,15170000.0,63.3,60.3,4.8,36.7,33774000.0,25723000.0,24484000.0,1239000.0,8051000.0,76.2,72.5,4.8,23.8
Sep-Nov 1975,41338000.0,26167000.0,24880000.0,1286000.0,15172000.0,63.3,60.2,4.9,36.7,33785000.0,25735000.0,24463000.0,1273000.0,8050000.0,76.2,72.4,4.9,23.8
Oct-Dec 1975,41358000.0,26183000.0,24864000.0,1319000.0,15175000.0,63.3,60.1,5.0,36.7,33796000.0,25751000.0,24446000.0,1305000.0,8044000.0,76.2,72.3,5.1,23.8
Nov-Jan 1976,41377000.0,26190000.0,24847000.0,1343000.0,15187000.0,63.3,60.1,5.1,36.7,33806000.0,25758000.0,24429000.0,1329000.0,8049000.0,76.2,72.3,5.2,23.8
Dec-Feb 1976,41396000.0,26188000.0,24825000.0,1363000.0,15208000.0,63.3,60.0,5.2,36.7,33817000.0,25760000.0,24412000.0,1349000.0,8057000.0,76.2,72.2,5.2,23.8
Jan-Mar 1976,41415000.0,26187000.0,24809000.0,1379000.0,15228000.0,63.2,59.9,5.3,36.8,33828000.0,25759000.0,24395000.0,1365000.0,8068000.0,76.1,72.1,5.3,23.9
Feb-Apr 1976,41435000.0,26185000.0,24793000.0,1392000.0,15250000.0,63.2,59.8,5.3,36.8,33838000.0,25756000.0,24378000.0,1378000.0,8083000.0,76.1,72.0,5.3,23.9
Mar-May 1976,41454000.0,26193000.0,24788000.0,1405000.0,15261000.0,63.2,59.8,5.4,36.8,33849000.0,25764000.0,24373000.0,1391000.0,8085000.0,76.1,72.0,5.4,23.9
