period,16+ Population,16+ Total Activity Level,16+ Employment Level,16+ Unemployment Level,16+ Economically Inactive Level,16+ Economic Activity Rate,16+ Employment Rate,16+ Unemployment Rate,16+ Economic Inactivity Rate,16-64 Population,16-64 Total Activity Level,16-64 Employment Level,16-64 Unemployment Level,16-64 Economically Inactive Level,16-64 Economic Activity Rate,16-64 Employment Rate,16-64 Unemployment Rate,16-64 Economic Inactivity Rate
Jul-Sep 1992,45003489.333333336,28323529.820289146,25509004.98281585,2814524.837473295,16679959.513044182,62.93629725131198,56.68228255341471,9.937055357617014,37.06370274868801,36356270.66666667,27844364.378492728,25051021.951368682,2793342.42712404,8511906.288173938,76.58751535267311,68.90426738498448,10.031984889845956,23.412484647326874
Aug-Oct 1992,45006042.416666664,28304301.197930403,25454432.116793375,2849869.0811370304,16701741.218736267,62.89000249319575,56.55781035163198,10.068678471190843,37.10999750680426,36355718.83333333,27829816.46575056,24999843.44495082,2829973.020799742,8525902.367582776,76.54866238055055,68.76454172054304,10.168852619931997,23.451337619449472
Sep-Nov 1992,45007256.5,28305230.433747776,25406419.09858323,2898811.3351645404,16702026.066252224,62.890370653336255,56.44960629533868,10.241256795098703,37.109629346663745,36354057.0,27843019.63731946,24962923.297701463,2880096.339617993,8511037.36268054,76.58847989735908,68.66612795843243,10.34405167662795,23.411520102640925
Oct-Dec 1992,45009749.583333336,28267348.070938393,25335707.76036243,2931640.310575964,16742401.51239493,62.80272237152262,56.289377290257114,10.37111901413199,37.19727762847735,36353396.16666667,27817111.992068827,24904857.806714475,2912254.185354348,8536284.174597835,76.5186060321237,68.507651094096,10.469290220295642,23.481393967876283
Nov-Jan 1993,45011776.666666664,28283919.888446037,25301163.589961484,2982756.2984845517,16727856.778220635,62.83671070773708,56.21009758696813,10.545767030343647,37.163289292262924,36352636.33333333,27833942.359362297,24869382.745849162,2964559.6135131344,8518693.97397104,76.5665029191848,68.41149708596329,10.650879330128266,23.433497080815226
Dec-Feb 1993,45014156.75,28297569.027673624,25274285.849734027,3023283.177939596,16716587.722326377,62.863710154191935,56.14741600093181,10.683897174993987,37.136289845808065,36351719.5,27844605.082246557,24839004.25966523,3005600.8225813294,8507114.417753441,76.59776611735397,68.32965428132012,10.794194472155292,23.402233882646023
Jan-Mar 1993,45015604.83333333,28285815.98186159,25282289.152509775,3003526.8293518117,16729788.851471744,62.83557909882042,56.16338877621533,10.618491017822631,37.1644209011796,36350545.66666667,27831852.733037714,24847112.938892823,2984739.7941448884,8518692.933628954,76.56515802611301,68.3541676835887,10.72418650233034,23.434841973886975
Feb-Apr 1993,45018512.91666667,28246691.981196113,25258217.386197217,2988474.594998896,16771820.935470555,62.74461360703604,56.106289945544084,10.579910019156687,37.25538639296395,36350047.833333336,27793487.40787482,24824126.461603045,2969360.9462717758,8556560.425458515,76.46066254247931,68.2918673874181,10.68365729962501,23.53933745752067
Mar-May 1993,45020243.0,28237916.683222722,25285871.46123015,2952045.22199257,16782326.316777278,62.7227104998583,56.165559704398206,10.454189149677951,37.2772895001417,36349176.0,27792236.932705373,24859657.88479072,2932579.047914653,8556939.067294627,76.4590562732574,68.39125564989621,10.55179205263485,23.540943726742604
Apr-Jun 1993,45021999.333333336,28223810.958488174,25292830.156229567,2930980.8022586056,16798188.374845166,62.68893291371861,56.17882486507722,10.384780448570599,37.311067086281405,36347778.66666667,27782861.343597077,24872033.24006305,2910828.1035340247,8564917.323069595,76.43620150321814,68.42793191891079,10.477063782362587,23.56379849678185
May-Jul 1993,45024269.66666667,28220405.772841424,25293401.338799637,2927004.434041789,16803863.893825233,62.678208845515506,56.17726067753496,10.3719431166318,37.321791154484465,36347222.333333336,27781940.818299875,24872003.673954956,2909937.1443449184,8565281.51503345,76.43483885375635,68.42889793849616,10.474203956363452,23.565161146243618
Jun-Aug 1993,45028605.0,28184433.881839216,25278198.83882899,2906235.043010229,16844171.11816078,62.592287462245864,56.13809008480052,10.311489864207903,37.40771253775412,36349664.0,27743537.42694573,24853560.271043573,2889977.1559021585,8606126.573054265,76.32405467887057,68.37356260306443,10.416758005398716,23.675945321129422
Jul-Sep 1993,45032827.333333336,28205762.997689985,25315638.57803362,2890124.4196563703,16827064.33564335,62.63378221605033,56.21596527938845,10.246574148315249,37.36621778394967,36352228.66666667,27768907.70779019,24892766.284426674,2876141.423363515,8583320.958876478,76.38846014757,68.47658918709487,10.35741648043525,23.61153985242998
Aug-Oct 1993,45036820.66666667,28211588.831679665,25319688.359921604,2891900.4717580564,16825231.834987003,62.64116430527711,56.21997286913637,10.250753649545082,37.358835694722885,36354462.33333333,27768123.652467504,24893092.873209834,2875030.7792576705,8586338.680865826,76.38161004242654,68.47328023989344,10.35370922155265,23.618389957573463
Sep-Nov 1993,45041282.0,28204625.870460004,25319175.86501772,2885450.0054422794,16836656.12954,62.61950064045691,56.21326645413362,10.23041404163543,37.380499359543094,36356817.0,27767477.40801706,24899821.988606438,2867655.4194106236,8589339.59198294,76.3748856452892,68.48735407339548,10.327389043207326,23.62511435471081
Oct-Dec 1993,45046031.333333336,28212834.270915087,25320371.44924596,2892462.821669126,16833197.062418252,62.63112073546432,56.209993865784334,10.252294377424521,37.36887926453569,36359974.66666667,27774621.087596193,24898801.708743446,2875819.3788527483,8585353.579070475,76.38789999779296,68.47860026582924,10.354126415560911,23.612100002207026
Nov-Jan 1994,45051137.66666667,28213790.598467216,25321620.58059661,2892170.0178706073,16837347.068199452,62.62614455426415,56.206395425463526,10.250909064405304,37.373855445735835,36363163.333333336,27777911.199894562,24902570.987921223,2875340.211973338,8585252.133438773,76.39024950953907,68.48296106596857,10.351175044379334,23.609750490460925
Dec-Feb 1994,45054060.0,28207114.906606648,25361991.805681404,2845123.1009252453,16846945.093393356,62.60726537543264,56.29235590684036,10.08654415861178,37.39273462456737,36364403.0,27777546.31307167,24948356.623675544,2829189.6893961243,8586856.686928337,76.3866419395684,68.60653431784799,10.185167752073022,23.61335806043162
Jan-Mar 1994,45058765.33333333,28213697.009844337,25407613.345560946,2806083.664283388,16845068.323489,62.61533533181958,56.38772646698563,9.945820511591542,37.384664668180434,36367300.66666667,27786810.037657715,24996954.1037073,2789855.9339504177,8580490.629008953,76.40602829543076,68.73469750428538,10.040216671757216,23.593971704569235
Feb-Apr 1994,45063571.666666664,28220168.76418329,25450818.05527576,2769350.7089075325,16843402.902483374,62.623018372637404,56.47758735932958,9.813374016467117,37.376981627362596,36370119.33333333,27783867.681653358,25031189.762754835,2752677.9188985224,8586251.65167997,76.39201682846654,68.82350187895499,9.907468428940907,23.607983171533462
Mar-May 1994,45067064.0,28205112.8463818,25455374.68391858,2749738.1624632194,16861951.153618205,62.58475778759806,56.48332157585988,9.749076975651812,37.41524221240196,36372027.0,27764655.22350207,25030015.17427139,2734640.0492306827,8607371.776497934,76.33518809249226,68.8166628004301,9.849357131277754,23.66481190750775
Apr-Jun 1994,45071766.25,28187095.76344826,25451127.30303444,2735968.4604138164,16884670.486551747,62.53825423015957,56.46800518502965,9.706457463282527,37.46174576984044,36374783.25,27749046.49258995,25028286.2401565,2720760.2524334495,8625736.757410051,76.28649304072472,68.80669519908822,9.804878351982277,23.71350695927529
May-Jul 1994,45075663.5,28220925.350913115,25515526.454187684,2705398.8967254297,16854738.149086885,62.60789783141654,56.60599195436732,9.586499602990141,37.39210216858346,36377107.5,27777381.514265474,25085724.754414894,2691656.7598505807,8599725.985734526,76.35951130601978,68.96019633890599,9.690102569488927,23.640488693980206
Jun-Aug 1994,45087731.75,28208421.727233,25517447.600211244,2690974.1270217574,16879310.022767004,62.56340834274281,56.595101615887444,9.53961250665731,37.436591657257196,36385283.75,27763150.25089258,25087937.650584307,2675212.6003082767,8622133.499107422,76.30323963295346,68.9507819231568,9.635839507162085,23.696760367046533
Jul-Sep 1994,45098923.0,28198337.638899814,25559033.90879756,2639303.730102255,16900585.361100186,62.52552336759752,56.67326891331209,9.359784835192967,37.47447663240248,36392740.0,27750156.57615544,25127904.63545247,2622251.9407029646,8642583.42384456,76.25190237436213,69.04647640010747,9.449503225348131,23.74809762563786
Aug-Oct 1994,45111689.25,28168821.351690486,25560955.21912323,2607866.1325672576,16942867.898309514,62.44239978597229,56.66148983574857,9.257988113907196,37.55760021402771,36401574.25,27719624.791388497,25126431.41178038,2593193.3796081147,8681949.458611505,76.14952199873196,69.025672459153,9.355081099127025,23.85047800126805
Sep-Nov 1994,45122388.5,28149483.53527994,25593847.797155134,2555635.7381248027,16972904.964720063,62.38473731345127,56.72095083609135,9.07880151663105,37.615262686548746,36408876.5,27687465.270100363,25147260.2587623,2540205.011338061,8721411.229899641,76.04592047793719,69.06903666407366,9.174566853836286,23.954079522062816
Oct-Dec 1994,45134209.75,28120555.63065452,25599890.709056385,2520664.921598131,17013654.11934548,62.30430484197084,56.719483626400226,8.96378064041639,37.69569515802917,36416971.75,27656106.13630887,25149479.145302624,2506626.991006246,8760865.613691127,75.94290466040431,69.05977607899982,9.063557171251126,24.057095339595687
Nov-Jan 1995,45146016.00000001,28080195.86459235,25583136.630011,2497059.2345813457,17065820.135407645,62.19861319455596,56.667539899890606,8.89259906384772,37.80138680544401,36425188.0,27619979.86612002,25136021.160271928,2483958.7058480927,8805208.133879973,75.82659522888399,69.0072516860364,8.99334003097893,24.173404771116
Dec-Feb 1995,45157461.0,28133530.390960258,25637642.645683646,2495887.745276613,17023930.609039742,62.300957068778196,56.77387983722922,8.871576764779514,37.699042931221804,36433135.0,27665726.731054947,25183351.464194037,2482375.2668609098,8767408.268945053,75.93561940539827,69.12210948685595,8.972745559849791,24.064380594601737
Jan-Mar 1995,45169272.0,28167447.01964216,25670256.672605384,2497190.347036775,17001824.98035784,62.3597542586964,56.83123844149045,8.865518927914893,37.6402457413036,36441127.0,27705366.876422174,25220494.36940629,2484872.5070158886,8735760.123577824,76.02774435714399,69.20887592034761,8.968921141161877,23.97225564285601
Feb-Apr 1995,45181602.0,28194729.10562045,25704882.005679622,2489847.099940832,16986872.89437955,62.40311953883453,56.8923651836861,8.830895628092755,37.59688046116547,36449423.0,27730746.178885087,25254276.271028236,2476469.907856851,8718676.821114909,76.08006902848665,69.28580535013747,8.930412084412282,23.919930971513345
Mar-May 1995,45193102.0,28206094.31072658,25733377.102336276,2472717.208390305,16987007.689273417,62.41238831254952,56.94094001853707,8.766606184997219,37.587611687450476,36457265.0,27748178.31504628,25287509.55342087,2460668.761625409,8709086.68495372,76.11151937767761,69.3620587101662,8.867856958707543,23.88848062232238
Apr-Jun 1995,45204634.0,28214818.947090555,25770282.576558918,2444536.370531641,16989815.05290945,62.415766815168894,57.008054918792,8.664015796506522,37.58423318483111,36465484.0,27748663.47119535,25317006.143464945,2431657.327730405,8716820.528804649,76.09569496237964,69.42731417870375,8.763151170342312,23.904305037620365
May-Jul 1995,45215891.0,28238828.444985166,25790936.24014736,2447892.2048378093,16977062.555014834,62.45332740426406,57.03954001514061,8.66853314969064,37.54667259573594,36473062.0,27782100.530246496,25346705.689936846,2435394.840309647,8690961.469753506,76.17156061711106,69.49431799813475,8.766057259271024,23.828439382888956
Jun-Aug 1995,45227791.0,28276107.475459583,25837532.280971706,2438575.1944878697,16951683.524540417,62.5193202017308,57.127557436912426,8.62415449723507,37.4806797982692,36482150.0,27824801.002139483,25398602.957430683,2426198.044708797,8657348.997860515,76.26963049639203,69.61926026133516,8.71955218843162,23.73036950360797
Jul-Sep 1995,45242060.0,28299548.193891026,25852195.553784505,2447352.640106525,16942511.80610897,62.55141386994983,57.14195055173108,8.648027252374407,37.44858613005016,36493665.0,27847111.43799791,25413496.241998773,2433615.1959991376,8646553.562002089,76.30669991078702,69.6381036051018,8.739201555671672,23.693300089212986
Aug-Oct 1995,45255123.0,28306684.315120228,25869127.438516594,2437556.876603631,16948438.684879772,62.54912690242877,57.16287068431257,8.611241251246058,37.45087309757123,36503685.0,27856446.44031757,25431598.991721295,2424847.4485962717,8647238.55968243,76.31132703538717,69.66858001245983,8.704798200989156,23.688672964612834
Sep-Nov 1995,45268378.0,28312374.857116744,25891047.023099776,2421327.834016967,16956003.142883256,62.54338261714777,57.19455427163699,8.552189091295284,37.45661738285223,36514280.0,27857517.70119305,25454447.727017805,2403069.974175249,8656762.298806947,76.2921183197178,69.71093973924121,8.626288960671946,23.7078816802822
Oct-Dec 1995,45282525.0,28335299.15388194,25982367.100211836,2352932.053670103,16947225.846118063,62.57446808428183,57.37835312896495,8.30388993210171,37.42553191571818,36525630.0,27882803.10768148,25549415.62818998,2333387.4794915,8642826.892318524,76.33763772912741,69.94928117102972,8.368554160355101,23.662362270872602
Nov-Jan 1996,45295044.0,28363066.953313977,25986543.987143554,2376522.96617042,16931977.046686023,62.61847753876556,57.37171595891054,8.378935078079573,37.38152246123444,36535464.0,27916068.683916073,25561776.966488443,2354291.7174276304,8619395.316083927,76.40814055055131,69.964287210061,8.433464411068964,23.591859449448695
Dec-Feb 1996,45308015.0,28337987.25498008,25981026.134781294,2356961.1201987835,16970027.74501992,62.54519703628614,57.343112768858425,8.317320136364216,37.45480296371386,36545571.0,27898626.44514487,25558337.557069704,2340288.888075167,8646944.55485513,76.33928183840627,69.9355266800174,8.388545194784818,23.660718161593728
Jan-Mar 1996,45321991.0,28300836.76878027,25970488.807203438,2330347.96157683,17021154.231219728,62.44393978362572,57.302179878204015,8.234201626672487,37.55606021637427,36556748.0,27868913.004272394,25554728.64521639,2314184.3590560034,8687834.995727602,76.234661256719,69.90427224329798,8.30381995415907,23.765338743281
Feb-Apr 1996,45334274.0,28326875.99502519,25977271.173707776,2349604.8213174185,17007398.004974812,62.48445931884823,57.30161505113719,8.294613291384689,37.515540681151776,36566318.0,27890888.545786314,25558149.03486196,2332739.5109243537,8675429.45421369,76.27480717579034,69.89533109366374,8.36380492896408,23.725192824209675
Mar-May 1996,45347922.0,28348965.107137553,26001741.73097655,2347223.3761610007,16998956.89286245,62.51436417998944,57.3383312491729,8.279749780248695,37.48563582001056,36577027.0,27914340.360810757,25581750.744151875,2332589.616658884,8662686.639189245,76.31659172521255,69.93939322666075,8.35624122407575,23.683408274787464
Apr-Jun 1996,45361476.0,28349552.808755703,26009334.063399702,2340218.745356001,17011923.191244293,62.49698049674509,57.33793596883775,8.25487005436371,37.503019503254905,36587448.0,27915212.81710977,25588510.366488725,2326702.450621043,8672235.182890227,76.29723947160724,69.93794802657109,8.334890605580346,23.702760528392762
May-Jul 1996,45374773.0,28320146.540149957,26005670.858886257,2314475.6812636997,17054626.45985004,62.41385833522507,57.313059965911584,8.172541331954013,37.58614166477492,36598048.0,27885112.521397244,25584371.855639003,2300740.6657582386,8712935.478602754,76.19289564677669,69.9063836837391,8.250784944808087,23.807104353223302
Jun-Aug 1996,45387921.0,28348073.682169784,26062886.39652835,2285187.2856414355,17039847.317830212,62.457308150707725,57.42251643675935,8.061173084500481,37.54269184929227,36608925.0,27902249.803575203,25634341.55511456,2267908.2484606453,8706675.19642479,76.21706948121313,70.02210951322542,8.128047968985106,23.782930518786852
Jul-Sep 1996,45401124.0,28346818.4720295,26061643.271216262,2285175.200813237,17054305.5279705,62.43638036809287,57.40307942864204,8.061487404902513,37.56361963190713,36619731.0,27905545.55435045,25639952.86169081,2265592.6926596365,8714185.445649553,76.20357876017836,70.01677008957496,8.118790181854848,23.79642123982165
Aug-Oct 1996,45415149.0,28407353.70154827,26119989.336988673,2287364.364559601,17007795.29845173,62.55039194421287,57.513825038840395,8.052014941592162,37.44960805578713,36631213.0,27963186.16457569,25692629.414429143,2270556.750146544,8668026.835424313,76.33704667267143,70.13862580643764,8.119807009055819,23.662953327328566
Sep-Nov 1996,45427994.0,28438811.45674336,26176607.763731267,2262203.6930120923,16989182.54325664,62.60195300885035,57.622196048831185,7.954635152221464,37.39804699114964,36641992.0,28000635.382250585,25757086.67514043,2243548.7071101516,8641356.617749419,76.4167935581957,70.29390398628009,8.012492132704683,23.583206441804307
Oct-Dec 1996,45441367.0,28427461.112253163,26198266.598647714,2229194.5136054475,17013905.887746833,62.55855179764544,57.65290159217198,7.841694004268963,37.44144820235455,36652974.0,27993093.75147963,25781127.396409564,2211966.355070063,8659880.248520367,76.37332171593943,70.33843255504878,7.901828839312,23.62667828406057
Nov-Jan 1997,45454142.0,28439369.283835255,26257957.812753573,2181411.4710816797,17014772.716164745,62.567167770618695,57.768019937002826,7.670393282320713,37.432832229381305,36663454.0,28001864.61936178,25836217.907842577,2165646.7115192055,8661589.38063822,76.37541356404058,70.46858680538548,7.733937510796254,23.62458643595941
Dec-Feb 1997,45467118.0,28455598.620281205,26324277.50377623,2131321.116504971,17011519.3797188,62.58500620224313,57.89739632007516,7.48998868358338,37.41499379775687,36673919.0,28014925.81310126,25902097.116863906,2112828.6962373536,8658993.186898738,76.38923403059613,70.62811344722637,7.541796506379764,23.610765969403865
Jan-Mar 1997,45480569.0,28465797.808055535,26381144.61852503,2084653.1895305077,17014771.191944458,62.58892189333765,58.0053090772128,7.323361191515847,37.41107810666234,36685178.0,28025112.53555038,25959521.755186882,2065590.780363498,8660065.464449618,76.39355746222732,70.76297068856223,7.370499503769191,23.60644253777266
Feb-Apr 1997,45492762.0,28479681.267101526,26427636.274167825,2052044.9929337038,17013080.732898474,62.60266472082202,58.09195817604529,7.20529479838012,37.39733527917798,36695042.0,28039733.06260712,26005346.476283513,2034386.586323608,8655308.937392883,76.41286542908745,70.86882875425925,7.255370733313435,23.587134570912557
Mar-May 1997,45506849.0,28497339.1164459,26449861.447065152,2047477.669380749,17009509.8835541,62.62208819697865,58.12281453955459,7.184802977619562,37.37791180302135,36706359.0,28051920.350305744,26019761.46605216,2032158.8842535857,8654438.649694253,76.42250856399498,70.88625016186477,7.244277250457247,23.577491436005005
Apr-Jun 1997,45520283.0,28564374.90754979,26513530.313722163,2050844.593827629,16955908.092450205,62.75087285276717,58.245530489610886,7.179728597125977,37.24912714723282,36717701.0,28115509.227373213,26077999.988099046,2037509.2392741689,8602191.772626782,76.57208502071852,71.02296515813734,7.246922767062861,23.427914979281468
May-Jul 1997,45532787.0,28576879.340463392,26493498.806161545,2083380.5343018482,16955907.659536608,62.76110298379801,58.18554178588178,7.290441022200378,37.23889701620199,36728007.0,28118141.178720467,26049708.050238747,2068433.1284817173,8609865.821279537,76.55776470179954,70.92600491564583,7.356222857459323,23.442235298200462
Jun-Aug 1997,45547280.0,28530816.47176943,26508630.541110307,2022185.9306591186,17016463.528230578,62.6400006142396,58.20024936968862,7.08772541669119,37.35999938576042,36739713.0,28069443.053613394,26061634.813722398,2007808.2398909926,8670269.94638661,76.40082287418358,70.9358693512995,7.1530034851636515,23.59917712581644
Jul-Sep 1997,45561382.0,28522734.965619188,26571765.27754807,1950969.6880711168,17038647.034380816,62.60287487684019,58.32080615453691,6.840051244814995,37.39712512315982,36750906.0,28060298.158124894,26121399.54054778,1938898.6175771134,8690607.841875106,76.3526704841641,71.0768859427514,6.909757717651703,23.6473295158359
Aug-Oct 1997,45575999.0,28512110.299995333,26603257.935036827,1908852.364958507,17063888.700004667,62.55948509213223,58.37120089246278,6.694882787959822,37.44051490786777,36762655.0,28051337.30839579,26154167.950437963,1897169.3579578302,8711317.691604208,76.3038940152603,71.14330548334435,6.763204681118734,23.6961059847397
Sep-Nov 1997,45590336.0,28509246.38009063,26622418.578724883,1886827.801365747,17081089.619909372,62.53352986933597,58.39487249825245,6.618301221330807,37.466470130664035,36774069.0,28048215.473771296,26172058.720181096,1876156.7535902,8725853.526228707,76.27172145070837,71.16987440302321,6.689041430620243,23.72827854929164
Oct-Dec 1997,45605270.0,28500146.227915082,26635966.36871153,1864179.8592035542,17105123.772084918,62.493098336913874,58.40545702001442,6.540948401793262,37.506901663086126,36786078.0,28045126.9022597,26191984.58450892,1853142.3177507855,8740951.097740298,76.23842613028684,71.20080750252559,6.607715929434682,23.76157386971315
Nov-Jan 1998,45620351.0,28453339.439137682,26632104.662694603,1821234.7764430775,17167011.560862318,62.36983893249239,58.377684693163815,6.4007768941805185,37.63016106750761,36798067.0,28000236.22834585,26191803.281071164,1808432.9472746863,8797830.771654151,76.09159532305283,71.17711721398618,6.458634607674958,23.908404676947164
Dec-Feb 1998,45633667.0,28473509.88124499,26657639.579789422,1815870.3014555674,17160157.118755013,62.39584007405101,58.41660627402444,6.377402396223901,37.604159925949,36808874.0,28028279.95058452,26225603.794191137,1802676.1563933827,8780594.049415482,76.14544240224387,71.24804685465558,6.43163319180344,23.854557597756134
Jan-Mar 1998,45648490.0,28489861.22459892,26676556.544062994,1813304.680535928,17158628.77540108,62.41139898515574,58.439077708951594,6.364736796156352,37.58860101484425,36820531.0,28044834.701045297,26244764.84719535,1800069.8538499456,8775696.298954703,76.16629619232079,71.27752950438261,6.418543282706005,23.833703807679207
Feb-Apr 1998,45661931.0,28505918.827278323,26706850.058219012,1799068.7690593111,17156012.172721677,62.42819390900994,58.48821868312799,6.311211296012386,37.57180609099006,36831107.0,28049420.559011973,26265452.218299255,1783968.3407127212,8781686.440988025,76.15687619438637,71.3132304665707,6.360089817040985,23.84312380561362
Mar-May 1998,45676887.0,28494810.167779908,26708179.165361077,1786631.0024188277,17182076.83222009,62.383432933553266,58.47197766643133,6.270022477423046,37.616567066446734,36843479.0,28039799.658495933,26266188.676966667,1773610.9815292605,8803679.341504067,76.10518989940101,71.29128244639075,6.325334000708041,23.89481010059899
Apr-Jun 1998,45690832.0,28505236.583427943,26714031.488961138,1791205.09446681,17185595.416572053,62.38721278576836,58.46694034584693,6.283775576548489,37.61278721423163,36854630.0,28044347.675133035,26269549.512578525,1774798.1625545092,8810282.324866967,76.0945033911154,71.27883121490713,6.3285414341379935,23.9054966088846
May-Jul 1998,45706433.0,28570674.693407454,26770472.220705442,1800202.4727020115,17135758.306592546,62.50908858586154,58.57046910815692,6.300874907645775,37.49091141413846,36867057.0,28113169.145091478,26329650.978833906,1783518.1662575705,8753887.854908524,76.25552846567459,71.41782697445555,6.344066572690083,23.744471534325413
Jun-Aug 1998,45724338.0,28631650.42788528,26824426.700127482,1807223.7277577957,17092687.57211472,62.617966011635374,58.66553322243284,6.311978879141675,37.38203398836462,36883773.0,28184944.056031764,26392286.150753878,1792657.9052778832,8698828.94396824,76.41556642275118,71.55527757627691,6.3603387032242225,23.584433577248838
Jul-Sep 1998,45743043.0,28619449.110408492,26833563.129395835,1785885.9810126582,17123593.889591508,62.56568700601858,58.66151740144579,6.240113057812691,37.434312993981415,36901140.0,28179720.462211706,26406970.821908034,1772749.6403036737,8721419.537788294,76.36544687294676,71.56139572356852,6.290870211721533,23.63455312705324
Aug-Oct 1998,45760457.0,28660220.165204532,26878358.195725407,1781861.9694791199,17100236.83479547,62.63097452283864,58.73708428157832,6.217195678218907,37.369025477161365,36917461.0,28219727.339931194,26449907.957607213,1769819.3823239775,8697733.660068806,76.44005458536597,71.6460646023496,6.271567974434911,23.55994541463403
Sep-Nov 1998,45778472.0,28706346.27552891,26938697.036630657,1767649.2388982568,17072125.724471085,62.70708702450556,58.845775884854035,6.157694963796601,37.29291297549443,36934196.0,28265087.91075711,26509837.50592801,1755250.4048291012,8669108.08924289,76.52823391839127,71.77586187588328,6.209959121199439,23.471766081608735
Oct-Dec 1998,45796067.0,28719337.01997897,26955075.7201851,1764261.2997938688,17076729.98002103,62.71136126161002,58.858931532668734,6.1431129087922125,37.28863873838998,36950775.0,28277946.9360845,26524133.394180503,1753813.5419039996,8672828.063915499,76.52869780426663,71.78234663327224,6.2020540100314685,23.471302195733372
Nov-Jan 1999,45814915.0,28790422.18366504,27000226.558118545,1790195.625546496,17024492.816334963,62.84071941127696,58.93326781926484,6.21802491858632,37.15928058872305,36968013.0,28344234.978745297,26564949.37245373,1779285.60629157,8623778.021254703,76.67232474394903,71.85928378799728,6.277416228117698,23.327675256050963
Dec-Feb 1999,45833107.0,28812263.379730493,27018057.796634655,1794205.5830958323,17020843.62026951,62.86343053227985,58.94878083790971,6.227228869350337,37.13656946772016,36985015.0,28362426.917322177,26578827.53179168,1783599.3855304949,8622588.082677824,76.68626582231258,71.86377383324484,6.288599317434194,23.313734177687433
Jan-Mar 1999,45851259.0,28815605.45713453,27035943.855992917,1779661.6011416127,17035653.54286547,62.84583255856623,58.96445254860486,6.176034037490549,37.15416744143376,37001895.0,28357262.660594158,26589183.04876994,1768079.611824221,8644632.339405838,76.63732536021239,71.85897654368767,6.235015110542321,23.362674639787606
Feb-Apr 1999,45869496.0,28815581.01984583,27042187.899635136,1773393.120210696,17053914.98015417,62.82079275483172,58.954621824567546,6.154285485305076,37.17920724516827,37018988.0,28353037.038665257,26589883.638626378,1763153.4000388829,8665950.961334743,76.5905244051114,71.82768918109372,6.218569804830632,23.409475594888608
Mar-May 1999,45887701.0,28818965.542819925,27058486.80534295,1760478.737476977,17068735.457180075,62.80324556425244,58.966751908845794,6.1087506241721785,37.19675443574755,37035844.0,28345141.884769663,26596236.828063436,1748905.0567062232,8690702.11523034,76.53434841330919,71.81215264883241,6.170034582349154,23.465651586690832
Apr-Jun 1999,45905285.0,28838627.813938983,27095401.196731646,1743226.6172073374,17066657.186061017,62.82202106781165,59.024578971095906,6.0447626997174915,37.17797893218835,37052328.0,28368483.999948665,26635915.444907553,1732568.5550411143,8683844.000051335,76.56329718323951,71.88729260117624,6.107370965061967,23.436702816760487
May-Jul 1999,45923612.0,28838378.927902907,27115325.19630043,1723053.7316024809,17085233.072097093,62.79640836592494,59.04440878104368,5.974863344122718,37.20359163407507,37069205.0,28374631.547055915,26662826.193675898,1711805.3533800142,8694573.452944087,76.5450231453734,71.92715946747684,6.032872534542663,23.4549768546266
Jun-Aug 1999,45945201.0,28875026.271087695,27170242.782936856,1704783.4881508364,17070174.728912305,62.84666437978515,59.13619309868044,5.904006708585477,37.15333562021484,37088528.0,28406142.9410043,26713360.64965816,1692782.2913461388,8682385.058995703,76.59010608618465,72.02593925986537,5.9592120438942295,23.409893913815353
Jul-Sep 1999,45965030.0,28920330.17092736,27217967.95843346,1702362.2124939007,17044699.82907264,62.9181144250909,59.214511463243824,5.886385813828738,37.081885574909094,37106092.0,28447882.868469954,26759968.356498994,1687914.5119709643,8658209.131530043,76.66634057951981,72.11745272581925,5.933357219498941,23.33365942048018
Aug-Oct 1999,45986274.0,28899142.52192068,27212088.493927605,1687054.0279930795,17087131.47807932,62.84297467092177,59.174371235050714,5.837730398794391,37.15702532907824,37124818.0,28433362.613430455,26757466.828878783,1675895.7845516733,8691455.386569547,76.58855758816233,72.07433805838129,5.894117439912177,23.411442411837672
Sep-Nov 1999,46007205.0,28963603.78970277,27270276.732089423,1693327.057613346,17043601.210297227,62.954495474573534,59.27392618632108,5.846396290696957,37.04550452542645,37142988.0,28496681.979442406,26815560.813919343,1681121.1655230627,8646306.020557592,76.72156580252081,72.19548630260803,5.899357569894729,23.27843419747919
Oct-Dec 1999,46028111.0,29006478.963506408,27322283.052887693,1684195.9106187136,17021632.036493592,63.01905147379697,59.35999209893209,5.806274910986721,36.98094852620302,37161679.0,28530477.676052164,26857944.14699175,1672533.529060414,8631201.323947836,76.77391991909775,72.27322572532783,5.862269633376313,23.226080080902253
Nov-Jan 2000,46048952.0,29008384.640325665,27306631.70675344,1701752.933572223,17040567.359674335,62.99466845700563,59.29913824478229,5.866417433001598,37.00533154299436,37180066.0,28535014.2098179,26845702.526518356,1689311.6832995396,8645051.790182102,76.74815372790866,72.20455855704601,5.92013612076039,23.25184627209135
Dec-Feb 2000,46069298.0,28993226.77925972,27308520.35205889,1684706.4272008291,17076071.22074028,62.93394524756969,59.27704900573673,5.810689648404304,37.06605475243031,37197977.0,28516712.918423645,26842644.81476763,1674068.1036560177,8681264.081576359,76.66199943729103,72.16157162193963,5.8704806141049355,23.338000562708984
